"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-05-15","95.7","-1.62","6.12","Baty, Brett",683146,670280,,"called_strike",,,,,8,,"R","L","R","NYM","NYY","S",,,0,0,2026,"-0.57","1.63",0.20637762292262585,1.5720710617334397,,,669004,2,9,"Bot",,,,,,,6.094547536737756,-138.93737891047613,-9.84502816183297,-8.811732419449555,32.49079353685627,-9.023017901360063,3.327952756,1.679527559,,,,"95.8",2232,"6.6",823629,669224,700250,665862,641857,683011,641355,663757,592450,"53.92",,,,,,,,75,1,"4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard",211,"0","-0.042",,,,"0.042",,-4,-4,0.005,0.005,31,26,32,27,1,3,,,,,"0.88","0.57","-0.57",,,,,,
"FF","2026-05-14","93.9","-2.56","5.89","Bichette, Bo",666182,672456,"strikeout","called_strike",,,,,7,"Bo Bichette challenged (pitch result), call on the field was confirmed: Bo Bichette called out on strikes.","R","R","R","NYM","DET","S",2,,2,2,2026,"-0.56","1.27",-0.5075632007423336,1.670853856976126,,,701807,0,1,"Bot",,,,,,,6.495498142750146,-136.413173750013,-7.788144884750003,-8.454885508309541,30.383304090162895,-14.801433772442731,3.162081693,1.595816929,,,,"93.8",2193,"6.4",823630,668670,679529,669398,690993,805808,682985,672761,656716,"54.13",,0,"0",1,0,0,,8,8,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",214,"-0.028","-0.201",,,,"0.201",,-3,-3,0.298,0.298,25,28,26,28,1,0,6,1,,,"1.33","0.56","0.56","39.9",,,,,
"SI","2026-05-13","94.7","0.4","5.91","Baty, Brett",683146,664285,,"called_strike",,,,,7,,"R","L","L","NYM","DET","S",,,0,1,2026,"1.19","0.35",-0.40896323917006727,1.6644416063423144,,,668901,2,6,"Bot",,,,,,,-4.765138336982456,-137.69800668029202,-5.896207619294973,16.197338835093944,31.835970884942288,-26.626253534396326,3.327952756,1.679527559,,,,"93.9",2205,"6",823631,693307,679529,656716,805808,670097,682985,663837,672761,"54.53",,,,,,,,51,2,"Sinker",1,2,1,2,2,1,1,2,"Infield shade","Standard",142,"-0.01","-0.055",,,,"0.055",,-1,-1,0.343,0.343,32,26,33,27,3,2,8,1,,1,"2.21","1.19","1.19","41.1",,,,,
"FF","2026-05-12","89.9","-2.1","5.56","Alvarez, Francisco",682626,656427,,"called_strike",,,,,7,,"R","R","R","NYM","DET","S",,,0,1,2026,"-0.27","1.27",-0.3593258407037196,1.479981197541207,,,,1,4,"Bot",,,,,,,4.860815888552249,-130.80776657858715,-6.696952204145089,-4.080614297297767,25.669996796518905,-16.419820752152738,3.120833333,1.575,,,,"90.7",1964,"6.6",823632,693307,679529,656716,669398,805808,682985,663837,672761,"53.88",,,,,,,,36,2,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",204,"-0.005","-0.052",,,,"0.052",,0,0,0.53,0.53,30,24,31,25,2,1,6,3,,,"1.54","0.27","0.27","31.3",,,,,
"FF","2026-05-12","91.4","-2.24","5.59","Melendez, MJ",669004,656427,,"called_strike",,,,,7,,"R","L","R","NYM","DET","S",,,1,1,2026,"-0.1","1.33",-0.6356671345368323,1.7554745842871147,,,,0,2,"Bot",,,,,,,4.223281560855327,-132.9161542818115,-6.460692668509335,-2.161055676971251,29.860930018311038,-15.25644665266866,3.228781168,1.629478347,,,,"91.5",2209,"6.5",823632,693307,679529,656716,669398,805808,682985,663837,672761,"53.98",,,,,,,,16,3,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Infield shade","Standard",200,"-0.006","-0.061",,,,"0.061",,-2,-2,0.34,0.34,30,27,31,28,1,0,6,2,,1,"1.42","0.1","-0.1","29.8",,,,,
"FF","2026-05-10","94.1","1.31","5.86","Vientos, Mark",668901,593958,,"called_strike",,,,,7,,"R","R","L","AZ","NYM","S",,,0,0,2026,"0.56","1.39",-0.7657020394512907,1.833263386470386,,,,1,9,"Top",,,,,,,-6.587200231297128,-136.6787021548647,-7.61670108026196,8.43196379977735,30.74040850116705,-13.258838245560755,3.340239501,1.685728347,,,,"94.2",2391,"6.5",825085,543510,545121,606466,571448,672695,814439,678489,682998,"54.02",,,,,,,,67,1,"4-Seam Fastball",5,1,1,5,1,5,1,5,"Standard","Standard",149,"0.001","-0.039",,,,"0.039",,4,-4,0.994,0.006000000000000005,33,26,33,27,4,3,5,1,,2,"1.2","0.56","-0.56","39.8",,,,,
"FF","2026-05-10","92.9","1.32","5.85","Slater, Austin",596103,593958,"strikeout","called_strike",,,,,7,"Austin Slater challenged (pitch result), call on the field was confirmed: Austin Slater called out on strikes.","R","R","L","AZ","NYM","S",2,,3,2,2026,"0.42","1.49",-0.6573890992889165,1.9901598045688689,,,,0,9,"Top",,,,,,,-5.950959904785403,-135.1147004595552,-7.207329194390313,6.413738098505715,29.083505578920064,-12.569257254981117,3.257742782,1.644094488,,,,"93.3",2467,"6.5",825085,543510,545121,606466,571448,672695,814439,678489,682998,"53.95",,0,"0",1,0,0,,66,6,"4-Seam Fastball",5,1,1,5,1,5,1,5,"Standard","Standard",153,"0.012","-0.345",,,,"0.345",,4,-4,0.982,0.018000000000000016,33,33,33,34,4,3,5,3,,2,"1.15","0.42","-0.42","39.4",,,,,
"CH","2026-05-10","87.1","1.28","5.87","Semien, Marcus",543760,593958,"walk","ball",,,,,13,"Marcus Semien challenged (pitch result), call on the field was overturned: Marcus Semien walks.","R","R","L","AZ","NYM","B",,,3,1,2026,"1.32","0.39",-0.3346691280684235,1.3313757164791622,,,,1,7,"Top",,,,,,,-6.6246242327511835,-126.6736285416865,-5.31616000945179,15.574193732113004,25.575177019013683,-27.041559124043086,3.212106299,1.621062992,,,,"87.5",1973,"6.6",825085,543510,545121,606466,571448,672695,814439,678489,682998,"53.94",,0.704799,"0.7",1,0,0,,52,5,"Changeup",5,1,1,5,1,5,1,5,"Standard","Standard",128,"-0.01","0.253",,,,"-0.253",,4,-4,0.949,0.051000000000000045,33,35,33,36,3,2,5,1,,2,"2.61","1.32","-1.32","41.4",,,,,
"SI","2026-05-09","92.6","-1.79","5.4","Alvarez, Francisco",682626,518876,,"ball",,,,,13,,"R","R","R","AZ","NYM","B",,,0,0,2026,"-1.32","0.34",-0.8162557919814053,1.5076076046031681,,683146,,2,2,"Top",,,,,,,5.34018388466701,-134.68579720106504,-4.625536013048472,-17.204704467079925,29.2992436565943,-27.2264217677875,3.120833333,1.575,,,,"91.9",2251,"5.9",825089,672515,545121,606466,571448,672695,666971,814439,682998,"54.6",,,,,,,,12,1,"Sinker",0,1,1,0,1,0,1,0,"Standard","Standard",235,"-0.001","0.019",,,,"-0.019",,-1,1,0.411,0.589,37,24,38,25,1,0,6,1,,3,"2.32","1.32","1.32","19.5",,,,,
"SI","2026-05-04","93.7","-1.84","5.83","Benge, Carson",701807,675848,,"ball",,,,,11,,"R","L","R","COL","NYM","B",,,1,0,2026,"-0.89","0.45",-0.4758447504522789,3.40286684730145,,,,1,7,"Top",,,,,,,5.439089550317532,-136.54585244718152,-1.4908287382366239,-12.203094716503008,23.449803947443836,-26.421461848542798,3.259498032,1.644980315,,,,"94.1",2499,"6",824363,696100,681198,650489,691720,678662,666160,686668,687597,"54.55",,,,,,,,45,2,"Sinker",0,4,4,0,4,0,4,0,"Standard","Standard",197,"-0.001","0.071",,,,"-0.071",,-4,4,0.064,0.9359999999999999,25,23,26,23,1,2,3,1,3,2,"2.1","0.89","-0.89","34.8",,,,,
