"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SL","2026-06-03","81.7","-3.89","4.9","Torrens, Luis",670042,642547,,"ball",,,,,13,,"R","L","R","SEA","NYM","B",,,0,1,2026,"1.34","0.72",-0.49517386144981157,1.4917285516147203,,,,1,6,"Bot",,,,,,,4.916341723832248,-118.93283134885891,-2.2915104609582233,11.781417992469606,23.1683603905319,-25.079937616531385,3.340239501,1.685728347,,,,"81.6",2535,"6.2",823130,620443,676724,543760,683146,666182,669004,805999,701807,"54.29",,,,,,,,54,2,"Slider",1,6,1,6,6,1,1,6,"Standard","Standard",70,"0.001","0.035",,,,"-0.035",,-5,-5,0.043,0.043,30,31,30,32,3,2,5,1,,2,"2.69","-1.34","1.34","26.7",,,,,
"FF","2026-06-03","92.8","-3.64","5.19","Torrens, Luis",641487,642547,,"called_strike",,,,,7,,"R","L","R","SEA","NYM","S",,,2,1,2026,"-0.51","1.49",-0.43272454846436104,1.5711621180551725,,,,0,3,"Bot",,,,,,,9.219311274562223,-134.68459513652436,-6.504961593982015,-8.235341132462027,29.785638768805555,-12.774902707969021,3.219127297,1.624606299,,,,"92.5",2384,"6.3",823130,620443,676724,543760,683146,666182,669004,805999,701807,"54.2",,,,,,,,25,4,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",215,"-0.008","-0.072",,,,"0.072",,0,0,0.559,0.559,30,31,30,31,2,1,5,1,,2,"1.17","0.51","-0.51","33.5",,,,,
"CH","2026-06-01","83.4","-2.54","5.22","Torrens, Luis",668227,642207,,"ball",,,,,13,,"R","R","R","SEA","NYM","B",,,0,0,2026,"-1.53","-0.31",-0.9623061588526047,1.8187736506605297,,,,2,9,"Bot",,,,,,,6.734109465765667,-121.23770476131331,-0.49269223902121606,-16.450068798490307,24.53598819511529,-35.39273092723094,3.127854331,1.578543307,,,,"84.2",2493,"7",823131,620443,676724,543760,683146,666182,665742,805999,701807,"53.52",,,,,,,,60,1,"Changeup",2,2,2,2,2,2,2,2,"Standard","Standard",275,"0.003","0.041",,,,"-0.041",,0,0,0.536,0.536,31,31,32,31,1,3,2,1,,1,"3.61","1.53","1.53","12.1",,,,,
"CH","2026-06-01","85.9","3.09","5.69","Torrens, Luis",621550,548384,"strikeout","called_strike",,,,,8,"Luis Torrens challenged (pitch result), call on the field was overturned: Patrick Wisdom called out on strikes.","R","R","L","SEA","NYM","S",2,,1,2,2026,"1.47","0.21",0.07943216452376256,1.5778826192387188,,,,1,7,"Bot",,,,,,,-9.873961855111123,-124.72977028888899,-3.6303638952317434,17.27859616950101,24.662234446992866,-29.43723874039007,3.28933727,1.66003937,,,,"84.6",1972,"5.5",823131,620443,676724,543760,683146,666182,665742,805999,701807,"54.96",,0,"0",1,0,0,,46,5,"Changeup",2,2,2,2,2,2,2,2,"Standard","Standard",109,"-0.02","-0.178",,,,"0.178",,0,0,0.541,0.541,38,34,38,35,1,0,3,3,2,1,"2.89","1.47","-1.47","34.8",,,,,
"FF","2026-05-31","96.5","-3.52","5.36","Torrens, Luis",683357,690997,,"ball",,,,,14,,"R","L","R","NYM","MIA","B",,,0,0,2026,"-1.03","1.14",0.37125549105108835,1.5466895956955307,,,,2,2,"Top",,,,,,,12.630655361869422,-139.92717828437608,-7.025470675899539,-16.233308712202415,29.01376472244787,-15.685706329355927,3.369201116,1.700344488,,,,"97",2317,"6.6",823621,620443,668901,543760,683146,666182,665742,805999,701807,"53.92",,,,,,,,12,1,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",229,"-0.001","0.041",,,,"-0.041",,1,-1,0.645,0.355,24,23,25,24,1,0,6,1,,1,"1.31","1.03","-1.03","37.5",,,,,
"FF","2026-05-30","93.1","-3.09","5.27","Senger, Hayden",666624,681035,"walk","ball",,,,,14,"Hayden Senger challenged (pitch result), call on the field was confirmed: Christopher Morel walks.","R","R","R","NYM","MIA","B",,,3,2,2026,"-0.91","1.22",0.8502772728513361,1.5423284446769177,,,,0,5,"Top",,,,,,,12.116645672074677,-134.95308346691394,-6.290164759950667,-13.804754789626426,30.399605283849162,-16.048635860573015,3.227903543,1.629035433,,,,"93.8",2258,"7",823622,663584,668901,543760,666182,660644,665742,805999,701807,"53.52",,0.701432,"0.7",1,0,0,,34,6,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Strategic","Standard",222,"-0.035","0.363",,,,"-0.363",,3,-3,0.83,0.17000000000000004,27,27,27,27,2,1,6,3,6,4,"1.44","0.91","0.91","31.2",,,,,
"FC","2026-05-30","88.5","-3.17","5.22","Senger, Hayden",805300,681035,"strikeout","called_strike",,,,,9,"Hayden Senger challenged (pitch result), call on the field was overturned: Jakob Marsee called out on strikes.","R","L","R","NYM","MIA","S",2,,3,2,2026,"0.54","0.68",0.7928986633267299,1.8247116083961157,,,,1,4,"Top",,,,,,,8.49125412831408,-128.69312714467011,-3.469168085794323,4.253040474382571,26.92316239211644,-24.03645505472591,3.212106299,1.621062992,,,,"89.5",2399,"7",823622,663584,668901,543760,666182,660644,665742,805999,701807,"53.52",,0,"0",1,0,0,,24,6,"Cutter",0,0,0,0,0,0,0,0,"Strategic","Standard",185,"0.025","-0.355",,,,"0.355",,0,0,0.522,0.478,27,25,27,25,2,1,6,1,6,1,"2.23","-0.54","0.54","30.6",,,,,
"CU","2026-05-30","84.1","-2.09","4.95","Senger, Hayden",669364,681810,"walk","ball",,,,,14,"Hayden Senger challenged (pitch result), call on the field was confirmed: Xavier Edwards walks.","R","L","R","NYM","MIA","B",,,3,2,2026,"0.8","-0.46",0.9527121681706616,1.5256322307128842,,,,0,8,"Top",,,,,,,5.368128380359892,-122.42007478082638,-0.4228726023031325,6.961242212290485,23.968061089527215,-36.94044791007623,3.055011483,1.541781496,,,,"84.3",2574,"6.4",823622,663584,668901,543760,666182,660644,665742,805999,701807,"54.11",,0.701432,"0.7",1,0,0,,60,6,"Curveball",6,1,1,6,1,6,1,6,"Infield shade","Standard",60,"-0.012","0.363",,,,"-0.363",,5,-5,0.98,0.020000000000000018,30,26,30,27,1,3,1,1,2,1,"3.68","-0.8","0.8","25.9",,,,,
"CH","2026-05-29","85.5","3.08","5.72","Torrens, Luis",669065,548384,"strikeout","called_strike",,,,,7,"Luis Torrens challenged (pitch result), call on the field was overturned: Kyle Stowers called out on strikes.","R","L","L","NYM","MIA","S",2,,2,2,2026,"1.37","0",-0.5646087536025908,1.5441866480362845,,689414,,2,7,"Top",,,,,,,-11.086469028198596,-123.98560135343541,-3.188464023859403,16.401491196136412,26.44739019192247,-31.719130377693002,3.295480643,1.663139764,,,,"83.8",2153,"5.5",823623,620443,668901,543760,683146,666182,665742,805999,701807,"54.98",,0,"0",1,0,0,,58,5,"Changeup",6,5,5,6,5,6,5,6,"Standard","Standard",110,"0.056","-0.204",,,,"0.204",,1,-1,0.733,0.267,38,28,38,28,1,3,2,2,3,1,"3.16","1.37","1.37","30.9",,,,,
"SI","2026-05-29","96.8","-1.55","5.92","Torrens, Luis",691594,623211,,"called_strike",,,,,3,,"R","R","R","NYM","MIA","S",,,0,0,2026,"-1.27","0.83",0.6141155421179114,2.543020801166198,,,,2,6,"Top",,,,,,,8.514480142703944,-140.68990251150913,-5.130983198254118,-18.717540146092126,30.44282143461259,-20.187131942033048,2.995333005,1.511663386,,,,"95.7",2286,"5.6",823623,620443,668901,543760,683146,666182,665742,805999,701807,"54.86",,,,,,,,50,1,"Sinker",6,4,4,6,4,6,4,6,"Standard","Standard",234,"0.002","-0.043",,,,"0.043",,2,-2,0.832,0.16800000000000004,36,23,37,24,1,2,2,2,1,2,"1.6","1.27","1.27","34.5",,,,,
