,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,League
0,FF,2026-05-15,95.7,-1.62,6.12,"Baty, Brett",683146,670280,,called_strike,,,,,8,,R,L,R,NYM,NYY,S,,,0,0,2026,-0.57,1.63,0.2063776229226258,1.5720710617334397,,,669004.0,2,9,Bot,,,,,,,6.094547536737756,-138.93737891047613,-9.84502816183297,-8.811732419449555,32.49079353685627,-9.023017901360063,3.327952756,1.679527559,,,,95.8,2232,6.6,823629,669224,700250,665862,641857,683011,641355,663757,592450,53.92,,,,,,,,75,1,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,211,0.0,-0.042,,,,0.042,,-4,-4,0.005,0.005,31,26,32,27,1,3,,,,,0.88,0.57,-0.57,,,,,,,Brett Baty,26,0,Maj-NL,New York,40,139,123,17,27,6,1,2,15,12,0,37,1,0,2,2,2,1,0.22,0.29,0.333,0.623,683146,NL
1,FF,2026-05-14,93.9,-2.56,5.89,"Bichette, Bo",666182,672456,strikeout,called_strike,,,,,7,"Bo Bichette challenged (pitch result), call on the field was confirmed: Bo Bichette called out on strikes.",R,R,R,NYM,DET,S,2.0,,2,2,2026,-0.56,1.27,-0.5075632007423336,1.670853856976126,,,701807.0,0,1,Bot,,,,,,,6.495498142750146,-136.413173750013,-7.788144884750003,-8.454885508309541,30.38330409016289,-14.801433772442731,3.162081693,1.595816929,,,,93.8,2193,6.4,823630,668670,679529,669398,690993,805808,682985,672761,656716,54.13,,0.0,0.0,1.0,0.0,0.0,,8,8,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,214,-0.028,-0.201,,,,0.201,,-3,-3,0.298,0.298,25,28,26,28,1,0,6.0,1.0,,,1.33,0.56,0.56,39.9,,,,,,Bo Bichette,28,0,Maj-NL,New York,43,189,174,17,38,5,0,2,18,13,0,33,0,0,2,6,1,0,0.218,0.27,0.282,0.551,666182,NL
2,SI,2026-05-13,94.7,0.4,5.91,"Baty, Brett",683146,664285,,called_strike,,,,,7,,R,L,L,NYM,DET,S,,,0,1,2026,1.19,0.35,-0.4089632391700672,1.6644416063423144,,,668901.0,2,6,Bot,,,,,,,-4.765138336982456,-137.69800668029202,-5.896207619294973,16.197338835093944,31.835970884942288,-26.626253534396326,3.327952756,1.679527559,,,,93.9,2205,6.0,823631,693307,679529,656716,805808,670097,682985,663837,672761,54.53,,,,,,,,51,2,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,142,-0.01,-0.055,,,,0.055,,-1,-1,0.343,0.343,32,26,33,27,3,2,8.0,1.0,,1.0,2.21,1.19,1.19,41.1,,,,,,Brett Baty,26,0,Maj-NL,New York,40,139,123,17,27,6,1,2,15,12,0,37,1,0,2,2,2,1,0.22,0.29,0.333,0.623,683146,NL
3,SL,2026-05-13,82.7,0.66,5.71,"Torrens, Luis",620443,664285,,called_strike,,,,,3,,R,R,L,NYM,DET,S,,,1,1,2026,-0.34,-0.12,0.5227104277623635,2.7733677893178705,,,805999.0,0,5,Bot,,,,,,,0.3477311404661266,-120.50988222608017,0.2223713254422425,-3.3544139941663365,23.997843668584537,-33.630523344140094,3.178756562,1.604232283,,,,82.1,2360,5.9,823631,693307,679529,656716,805808,670097,682985,663837,672761,54.61,,,,,,,,41,3,Slider,1,2,1,2,2,1,1,2,Strategic,Standard,272,-0.012,-0.07,,,,0.07,,-1,-1,0.468,0.468,32,30,33,30,2,1,8.0,1.0,,,3.45,-0.34,0.34,34.0,,,,,,Luis Torrens,30,1,Maj-NL,New York,20,56,51,6,11,4,0,0,8,3,0,11,1,1,0,0,0,0,0.216,0.273,0.294,0.567,620443,NL
4,FF,2026-05-12,89.9,-2.1,5.56,"Alvarez, Francisco",682626,656427,,called_strike,,,,,7,,R,R,R,NYM,DET,S,,,0,1,2026,-0.27,1.27,-0.3593258407037196,1.479981197541207,,,,1,4,Bot,,,,,,,4.860815888552249,-130.80776657858715,-6.696952204145089,-4.080614297297767,25.669996796518905,-16.419820752152738,3.120833333,1.575,,,,90.7,1964,6.6,823632,693307,679529,656716,669398,805808,682985,663837,672761,53.88,,,,,,,,36,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,204,-0.005,-0.052,,,,0.052,,0,0,0.53,0.53,30,24,31,25,2,1,6.0,3.0,,,1.54,0.27,0.27,31.3,,,,,,Francisco Alvarez,24,2,Maj-NL,New York,37,128,112,12,27,5,0,4,10,11,0,28,2,0,1,10,0,0,0.241,0.317,0.393,0.71,682626,NL
5,FF,2026-05-12,91.4,-2.24,5.59,"Melendez, MJ",669004,656427,,called_strike,,,,,7,,R,L,R,NYM,DET,S,,,1,1,2026,-0.1,1.33,-0.6356671345368323,1.755474584287115,,,,0,2,Bot,,,,,,,4.223281560855327,-132.9161542818115,-6.460692668509335,-2.161055676971251,29.86093001831104,-15.25644665266866,3.228781168,1.629478347,,,,91.5,2209,6.5,823632,693307,679529,656716,669398,805808,682985,663837,672761,53.98,,,,,,,,16,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,200,-0.006,-0.061,,,,0.061,,-2,-2,0.34,0.34,30,27,31,28,1,0,6.0,2.0,,1.0,1.42,0.1,-0.1,29.8,,,,,,MJ Melendez,27,0,Maj-NL,New York,23,61,52,6,13,3,1,2,6,7,0,21,1,1,0,0,0,1,0.25,0.35,0.462,0.812,669004,NL
6,FF,2026-05-12,91.8,-2.39,5.42,"Soto, Juan",665742,656427,,ball,,,,,14,,R,L,R,NYM,DET,B,,,0,1,2026,-0.11,1.34,0.293745795179663,1.454694571316557,,,666182.0,1,1,Bot,,,,,,,6.987958178687997,-133.55877108323713,-7.016513895096973,-2.6547409862744784,25.16786198938955,-14.80278317688594,3.259498032,1.644980315,,,,92.8,2256,6.6,823632,693307,679529,656716,669398,805808,682985,663837,672761,53.87,,,,,,,,7,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,204,0.003,0.019,,,,-0.019,,0,0,0.547,0.547,30,27,31,28,1,0,6.0,2.0,,1.0,1.34,0.11,-0.11,30.3,,,,,,Juan Soto,27,0,Maj-NL,New York,28,120,104,13,28,4,1,5,13,15,3,18,0,0,1,1,1,1,0.269,0.358,0.471,0.829,665742,NL
7,FF,2026-05-10,94.1,1.31,5.86,"Vientos, Mark",668901,593958,,called_strike,,,,,7,,R,R,L,AZ,NYM,S,,,0,0,2026,0.56,1.39,-0.7657020394512907,1.833263386470386,,,,1,9,Top,,,,,,,-6.587200231297128,-136.6787021548647,-7.61670108026196,8.43196379977735,30.74040850116705,-13.258838245560757,3.340239501,1.685728347,,,,94.2,2391,6.5,825085,543510,545121,606466,571448,672695,814439,678489,682998,54.02,,,,,,,,67,1,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,149,0.001,-0.039,,,,0.039,,4,-4,0.994,0.006,33,26,33,27,4,3,5.0,1.0,,2.0,1.2,0.56,-0.56,39.8,,,,,,Mark Vientos,26,0,Maj-NL,New York,35,129,120,14,29,5,0,6,19,7,0,27,1,0,1,3,0,0,0.242,0.287,0.433,0.72,668901,NL
8,FF,2026-05-10,92.9,1.32,5.85,"Slater, Austin",596103,593958,strikeout,called_strike,,,,,7,"Austin Slater challenged (pitch result), call on the field was confirmed: Austin Slater called out on strikes.",R,R,L,AZ,NYM,S,2.0,,3,2,2026,0.42,1.49,-0.6573890992889165,1.9901598045688689,,,,0,9,Top,,,,,,,-5.950959904785403,-135.1147004595552,-7.207329194390313,6.413738098505715,29.083505578920064,-12.569257254981116,3.257742782,1.644094488,,,,93.3,2467,6.5,825085,543510,545121,606466,571448,672695,814439,678489,682998,53.95,,0.0,0.0,1.0,0.0,0.0,,66,6,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,153,0.012,-0.345,,,,0.345,,4,-4,0.982,0.018,33,33,33,34,4,3,5.0,3.0,,2.0,1.15,0.42,-0.42,39.4,,,,,,Austin Slater,33,2,Maj-NL,"Miami,New York",20,46,41,3,9,1,0,0,2,4,0,14,0,0,1,1,1,0,0.22,0.283,0.244,0.527,596103,NL
9,SI,2026-05-10,91.3,1.18,5.92,"Slater, Austin",596103,593958,,ball,,,,,14,,R,R,L,AZ,NYM,B,,,0,1,2026,1.38,0.84,0.8536728282148804,1.7466435749545195,,,,0,9,Top,,,,,,,-3.839233886573978,-132.76521393709083,-6.218565596443311,17.149779215152066,29.27695243110908,-21.047411517296855,3.257742782,1.644094488,,,,91.4,2160,6.5,825085,543510,545121,606466,571448,672695,814439,678489,682998,54.03,,,,,,,,66,2,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,153,-0.001,0.031,,,,-0.031,,4,-4,0.986,0.014,33,33,33,34,4,3,5.0,3.0,,2.0,1.9,1.38,-1.38,42.1,,,,,,Austin Slater,33,2,Maj-NL,"Miami,New York",20,46,41,3,9,1,0,0,2,4,0,14,0,0,1,1,1,0,0.22,0.283,0.244,0.527,596103,NL
