,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
1,CJ Abrams,25,0,Maj-NL,Washington,43,182,154,25,45,8,1,9,36,20,2,36,6,0,2,3,7,3,0.292,0.39,0.532,0.923,682928
2,Wilyer Abreu,27,0,Maj-AL,Boston,42,179,158,20,49,6,1,6,19,20,1,33,0,0,1,5,3,1,0.31,0.385,0.475,0.86,677800
3,Luisangel Acu\xc3\xb1a,24,0,Maj-AL,Chicago,33,92,83,8,15,1,0,0,3,6,0,15,1,1,1,3,7,1,0.181,0.242,0.193,0.435,682668
4,Ronald Acu\xc3\xb1a Jr.,28,12,Maj-NL,Atlanta,34,152,127,17,32,8,1,2,9,20,1,31,3,0,2,0,7,4,0.252,0.362,0.378,0.74,660670
5,Willy Adames,30,0,Maj-NL,San Francisco,43,182,174,15,38,12,0,3,11,7,0,55,1,0,0,1,1,2,0.218,0.253,0.339,0.592,642715
6,Jo Adell,27,1,Maj-AL,Los Angeles,44,184,171,16,46,5,0,6,25,5,0,41,6,0,2,5,2,0,0.269,0.31,0.404,0.713,666176
7,Ozzie Albies,29,0,Maj-NL,Atlanta,44,188,170,30,49,8,0,8,25,14,0,24,1,0,3,2,0,3,0.288,0.34,0.476,0.817,645277
8,Blaze Alexander,27,1,Maj-AL,Baltimore,36,100,90,10,22,2,1,0,5,6,0,30,1,2,0,4,4,1,0.244,0.299,0.289,0.588,677942
9,Nick Allen,27,4,Maj-AL,Houston,18,34,32,6,7,1,0,0,0,2,0,6,0,0,0,1,0,0,0.219,0.265,0.25,0.515,669397
10,Pete Alonso,31,1,Maj-AL,Baltimore,44,187,165,27,36,10,0,8,23,21,0,46,1,0,0,4,1,0,0.218,0.31,0.424,0.734,624413
11,Jose Altuve,36,0,Maj-AL,Houston,41,181,159,26,39,10,0,3,11,19,1,34,1,1,1,5,1,2,0.245,0.328,0.365,0.693,514888
12,Francisco Alvarez,24,2,Maj-NL,New York,37,128,112,12,27,5,0,4,10,11,0,28,2,0,1,10,0,0,0.241,0.317,0.393,0.71,682626
13,Yordan Alvarez,29,0,Maj-AL,Houston,45,198,165,29,53,11,0,14,30,28,7,31,4,0,1,2,1,0,0.321,0.429,0.642,1.072,670541
14,Miguel Amaya,27,0,Maj-NL,Chicago,24,75,61,11,14,1,0,2,8,10,0,17,3,1,0,1,0,0,0.23,0.365,0.344,0.709,665804
15,Miguel Andujar,31,0,Maj-NL,San Diego,32,118,114,10,33,9,2,3,12,3,0,23,1,0,0,2,1,1,0.289,0.314,0.482,0.796,609280
16,Roman Anthony,22,10,Maj-AL,Boston,30,130,109,12,25,5,1,1,5,20,1,33,1,0,0,0,2,0,0.229,0.354,0.321,0.675,701350
17,Sam Antonacci,23,0,Maj-AL,Chicago,26,97,80,14,23,5,2,1,9,6,0,11,8,2,1,0,3,3,0.288,0.389,0.438,0.827,803011
18,Jonathan Aranda,28,1,Maj-AL,Tampa Bay,42,181,148,23,42,5,0,8,33,25,2,42,3,0,5,1,0,0,0.284,0.387,0.48,0.866,666018
19,Nolan Arenado,35,1,Maj-NL,Arizona,40,149,135,22,37,6,0,6,20,11,0,30,1,0,2,4,0,0,0.274,0.329,0.452,0.781,571448
20,Gabriel Arias,26,38,Maj-AL,Cleveland,10,32,30,2,6,1,0,2,4,2,0,12,0,0,0,0,0,0,0.2,0.25,0.433,0.683,672356
21,Randy Arozarena,31,0,Maj-AL,Seattle,45,190,163,32,49,11,1,4,16,19,0,45,6,0,2,4,11,2,0.301,0.389,0.454,0.843,668227
22,Luis Arraez,29,0,Maj-NL,San Francisco,41,177,162,16,49,7,2,0,14,10,2,7,0,3,2,3,4,0,0.302,0.339,0.37,0.709,650333
23,Jos\xc3\xa9 Azocar,30,1,Maj-NL,Atlanta,4,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0.2,0.2,0.2,0.4,640492
24,Harrison Bader,32,2,Maj-NL,San Francisco,17,62,59,5,8,2,0,2,4,2,0,19,0,0,1,2,0,0,0.136,0.161,0.271,0.432,664056
25,Javier B\xc3\xa1ez,33,16,Maj-AL,Detroit,24,82,78,10,20,5,0,2,6,2,0,16,1,0,1,2,1,1,0.256,0.28,0.397,0.678,595879
27,Patrick Bailey,27,2,"Maj-AL,Maj-NL","Cleveland,San Francisco",32,94,87,5,12,0,0,1,6,7,0,23,0,0,0,4,2,0,0.138,0.202,0.172,0.375,672275
28,Luken Baker,29,30,Maj-NL,Arizona,3,5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,663609
29,Drake Baldwin,25,0,Maj-NL,Atlanta,44,200,177,37,52,6,0,11,33,20,1,43,3,0,0,6,1,0,0.294,0.375,0.514,0.889,686948
30,Mois\xc3\xa9s Ballesteros,22,1,Maj-NL,Chicago,38,117,105,14,26,5,0,6,20,10,0,22,0,0,2,0,0,0,0.248,0.308,0.467,0.774,694208
31,Addison Barger,26,5,Maj-AL,Toronto,9,28,22,2,1,1,0,0,2,5,0,7,0,0,1,1,0,0,0.045,0.214,0.091,0.305,680718
32,Jorge Barrosa,25,1,Maj-NL,Arizona,32,88,78,10,15,9,1,1,7,7,0,26,1,2,0,1,0,0,0.192,0.267,0.372,0.639,678489
33,Joey Bart,29,5,Maj-NL,Pittsburgh,21,62,58,9,15,1,0,2,6,2,0,21,1,0,1,0,0,0,0.259,0.29,0.379,0.67,663698
34,Samuel Basallo,21,2,Maj-AL,Baltimore,34,130,119,15,33,7,1,5,16,11,1,32,0,0,0,1,0,0,0.277,0.338,0.479,0.817,694212
35,Brett Baty,26,0,Maj-NL,New York,40,139,123,17,27,6,1,2,15,12,0,37,1,0,2,2,2,1,0.22,0.29,0.333,0.623,683146
36,Jake Bauers,30,1,Maj-NL,Milwaukee,36,142,127,24,34,8,0,6,21,15,3,31,0,0,0,2,3,1,0.268,0.345,0.472,0.818,641343
37,Travis Bazzana,23,1,Maj-AL,Cleveland,14,59,45,7,10,1,0,1,6,12,1,9,2,0,0,0,7,0,0.222,0.407,0.311,0.718,683953
38,Dylan Beavers,24,4,Maj-AL,Baltimore,33,119,103,16,25,7,0,2,12,14,0,28,0,1,1,1,3,1,0.243,0.331,0.369,0.699,687637
39,Jordan Beck,25,0,Maj-NL,Colorado,30,88,82,7,15,5,1,1,10,5,0,22,0,0,1,3,2,1,0.183,0.227,0.305,0.532,687597
40,Josh Bell,33,0,Maj-AL,Minnesota,42,170,154,21,33,8,0,3,24,14,0,41,1,0,1,3,1,0,0.214,0.282,0.325,0.607,605137
41,Cody Bellinger,30,1,Maj-AL,New York,43,185,154,26,42,10,3,5,29,28,0,23,0,0,3,2,5,2,0.273,0.378,0.474,0.852,641355
